time,y,y_pred,state,county
47,1.263157894736842,1.2768564891869825,california,santaclara
54,1.2857142857142858,1.2732639797913756,california,santaclara
55,1.2807881773399017,1.2727507641634317,california,santaclara
56,1.2941176470588236,1.2722375485354878,california,santaclara
60,1.3333333333333333,1.2701846860237125,california,santaclara
4,0.8830022075055187,0.6173250244302821,california,santaclara
9,0.8824508824508824,0.6147589462905629,california,santaclara
12,0.8602150537634409,0.6132192994067314,california,santaclara
23,0.8547008547008547,0.607573927499349,california,santaclara
54,0.7456828885400314,0.5916642430330898,california,santaclara
55,0.7326007326007326,0.5911510274051459,california,santaclara
56,0.7415786827551534,0.5906378117772021,california,santaclara
62,0.7361059992638941,0.5875585180095391,california,santaclara
4,1.8921475875118257,1.1811253261230603,california,santaclara
54,1.4577259475218658,1.1554645447258678,california,santaclara
55,1.4074595355383532,1.154951329097924,california,santaclara
