Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
133843,42533,13898,10432,1790,532,1453,2020-07-18,1.661293937751083,0.5683187313914799,0.46873927583525593,0.9275811800251723,0.2842165439179343,0.7433453474894978,1.973831852891521,8.597416695215532,2.9491827661351193,2.2692855354919477,4.061839489322271,1.1325609293104062,0.8415117519457207,7.354686168885006,0.6545498114739267,0.20800465568928164,0.0679671949961121,0.05101696490138448,0.008753869552672376,0.0026017087162132422,0.007105794670409476,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
137657,43542,14187,10678,1842,550,1496,2020-07-19,1.6641101238900533,0.5666400563688563,0.466017848414613,0.924713527594186,0.2848517509011336,0.7484703986761599,1.9792883876102898,8.84240931549117,3.0191455106165885,2.3164738733648194,4.157622897525231,1.1654621406646748,0.8699839540792226,7.572340336305553,0.655659388812681,0.20739026063100138,0.06757258802011888,0.05085924401768023,0.008773433927754915,0.00261964639536656,0.007125438195397043,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
140066,44276,14368,10866,1887,566,1512,2020-07-20,1.664773799546382,0.5665079661312273,0.4640310533921533,0.9251789415786026,0.2869061855392349,0.7572985314964606,1.9668354086568856,8.99715163909998,3.0700401136387874,2.346027815077587,4.230823225745379,1.1939343427981768,0.8952925781978909,7.653327933485292,0.6559208770212746,0.2073419156040292,0.06728450274186222,0.05088484178682314,0.008836710514608435,0.0026505448602376124,0.007080607471164788,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
143273,45199,14606,11069,1916,576,1542,2020-07-21,1.6666760892908339,0.5660187436996149,0.4616856393671247,0.9224201257421383,0.2851201168194857,0.75428854286775,1.9632018064512187,9.203153561812085,3.134039730245721,2.3848887992081873,4.30986400568522,1.2122830952842112,0.9111104682720585,7.805179678197302,0.6566703791805886,0.20716286019405905,0.06694441770823308,0.0507331069158176,0.00878169959804016,0.002640009900037125,0.007067526503224387,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
146903,46562,14920,11396,1967,587,1590,2020-07-22,1.6650675619386248,0.5681303080717771,0.4595134608647446,0.9253098135536452,0.28520101089041583,0.7489752627633615,1.972386587771203,9.43632692615413,3.2285483731874876,2.4361591732292314,4.437185853174521,1.2445515910355134,0.928510147353643,8.048142469736517,0.6560366194038182,0.2079356927542704,0.06662945182538796,0.050892039745450486,0.008784191135424807,0.002621413419671765,0.007100591715976331,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
150960,47871,15253,11717,2014,616,1632,2020-07-23,1.6654012514912322,0.5685185447777918,0.457236076415051,0.9259914181609543,0.2842248009876007,0.7650078456770536,1.9704747540166534,9.6969286724725,3.319312726533616,2.4905318947228867,4.562171519975944,1.2742892243749486,0.9743820285687292,8.26073491233333,0.6561680930875455,0.2080777873886718,0.06629923108018239,0.05092952799885249,0.008754123870418103,0.0026775274598696878,0.007093709114459952,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
154440,48849,15529,11969,2062,630,1673,2020-07-24,1.6669205255812072,0.5675784731354788,0.45543542782599317,0.9254362362139459,0.2847011802921172,0.7654623392529087,1.9762631073612906,9.920466773825204,3.387125971432404,2.5355975737987086,4.660291108866781,1.3046595733173505,0.9965270746725641,8.46826563010641,0.6567666870789957,0.20773372116758523,0.066038137034769,0.05089899299176703,0.00876879635299721,0.0026791181873851806,0.007114547186500646,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
158493,50103,15810,12281,2131,645,1710,2020-07-25,1.6679582600951552,0.5676151253372095,0.45210070264341656,0.9258536780274289,0.28688249384595993,0.7641224941669021,1.9695405372906587,10.18081157979719,3.474076696486678,2.5814796601041654,4.781772504636389,1.3483169499220533,1.0202539097838155,8.655549448584557,0.6571755544774912,0.20774713587341867,0.0655546018832954,0.05092195229150859,0.008835980810455566,0.0026744287295841574,0.007090345934246371,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
162991,50967,16090,12503,2195,662,1738,2020-07-26,1.6738395163860684,0.5634487240766823,0.44898771269362775,0.919809637733456,0.2883568164818923,0.7653081868323062,1.9534112539866224,10.469740999304221,3.5339853300168955,2.6271984649636955,4.86821119008784,1.3888107485119225,1.0471443229099007,8.797277743649099,0.659492769456111,0.20622223301206574,0.06510321834057602,0.05058953007534008,0.008881389947642284,0.0026785786539130717,0.007032280514351841,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
167650,52331,16449,12866,2259,693,1774,2020-07-28,1.6750817417908603,0.5628680756664379,0.44658092334657956,0.920893752223322,0.2887315108303841,0.7794600467676028,1.93990196824597,10.769012267753144,3.6285633116548777,2.68581650405145,5.009550121704404,1.4293045471017918,1.0961797821398205,8.97949983730351,0.659982206265599,0.20600971569391627,0.06475423388525403,0.05064915637228271,0.008892930533575831,0.00272811016368661,0.006983647085685492,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
170398,53194,16699,13099,2305,713,1806,2020-07-29,1.6748984698836547,0.562861803830186,0.44600802915945426,0.9223498197759857,0.28982805865546535,0.788935866042452,1.9428329473485817,10.945530285717865,3.68840260648888,2.7266368655331727,5.10027180508363,1.4584094648382604,1.1278155622881558,9.141475031662987,0.65990999713416,0.2060074202018481,0.06467116422812086,0.05072924008767921,0.008926704206588334,0.0027612755311485822,0.006994198610454894,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
176527,54219,17049,13382,2399,731,1844,2020-07-30,1.6833980374523856,0.556598864036938,0.44177669948573395,0.9141768804516643,0.2926519546783983,0.7847317607566489,1.924554941451365,11.339227131462328,3.7594747701097977,2.783785371607585,5.2104616608618315,1.5178847315171309,1.1562877644216576,9.333820574964866,0.6632588267562399,0.2037151842375193,0.06405762142543142,0.05027972842484154,0.009013680204094668,0.002746561162648271,0.006928397789224914,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
